Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"waitForElementPresent(findTestObject(""3.Payments/Payment Success page/Button_Back To Payment""), 180)",,,,2023-03-06 16:28:14,2023-03-06 16:28:29,14.142s,PASSED
takeScreenshot(),,,,2023-03-06 16:28:29,2023-03-06 16:28:29,0.674s,PASSED
"if (verifyElementExist(findTestObject(""3.Payments/Payment Success page/Button_Share""), 5, CONTINUE_ON_FAILURE))",,,,2023-03-06 16:28:29,2023-03-06 16:28:30,0.570s,PASSED
"tap(findTestObject(""3.Payments/Payment Success page/Button_Back To Payment""), 0)",,,,2023-03-06 16:28:30,2023-03-06 16:28:31,0.967s,PASSED
"callTestCase(findTestCase(""Utilities/Logout""), [:], CONTINUE_ON_FAILURE)",,,,2023-03-06 16:28:31,2023-03-06 16:28:40,9.576s,PASSED
Start listener action : autoUpdateJobStatus,,,,2023-03-06 16:28:40,2023-03-06 16:28:40,0.000s,PASSED
,,,,,,,
Test Cases/Payments/TC 01 - New Bill Payment,,,,2023-03-06 16:28:41,2023-03-06 16:30:25,1m - 44.717s,PASSED
Start listener action : enableSauceLabs,,,,2023-03-06 16:28:41,2023-03-06 16:28:41,0.001s,PASSED
"callTestCase(findTestCase(""Utilities/Login""), [:], CONTINUE_ON_FAILURE)",,,,2023-03-06 16:28:41,2023-03-06 16:29:09,27.934s,PASSED
"tap(findTestObject(""3.Payments/Payments_page/tab_PAY""), 0)",,,,2023-03-06 16:29:09,2023-03-06 16:29:10,0.968s,PASSED
"tap(findTestObject(""3.Payments/Payments_page/tab_Bills""), 0)",,,,2023-03-06 16:29:10,2023-03-06 16:29:11,1.798s,PASSED
"tap(findTestObject(""3.Payments/Payments_page/button_NewBill""), 0)",,,,2023-03-06 16:29:11,2023-03-06 16:29:12,0.353s,PASSED
delay(2),,,,2023-03-06 16:29:12,2023-03-06 16:29:14,2.009s,PASSED
"tap(findTestObject(""3.Payments/Pay To New Biller/Label_Select Biller"", [""biller"":biller]), 0)",,,,2023-03-06 16:29:14,2023-03-06 16:29:15,0.979s,PASSED
"tap(findTestObject(""3.Payments/Pay To New Biller/Label_Select Sub Biller"", [""subBiller"":subBiller]), 0)",,,,2023-03-06 16:29:15,2023-03-06 16:29:16,1.631s,PASSED
"delay(5, CONTINUE_ON_FAILURE)",,,,2023-03-06 16:29:16,2023-03-06 16:29:21,5.012s,PASSED
"callTestCase(findTestCase(""Utilities/Account Selection Based on AccountNumber""), [""accountNumber"":accountNumber], OPTIONAL)",,,,2023-03-06 16:29:21,2023-03-06 16:29:25,4.037s,PASSED
"tap(findTestObject(""3.Payments/Pay To New Biller/Text Box_Account Number Entry""), 0)",,,,2023-03-06 16:29:25,2023-03-06 16:29:26,0.394s,PASSED
"setText(findTestObject(""3.Payments/Pay To New Biller/Text Box_Account Number Entry""), consumerNumber, 0)",,,,2023-03-06 16:29:26,2023-03-06 16:29:26,0.428s,PASSED
pressBack(),,,,2023-03-06 16:29:26,2023-03-06 16:29:27,0.758s,PASSED
"if (biller == ""Salik"")",,,,2023-03-06 16:29:27,2023-03-06 16:29:27,0.000s,PASSED
takeScreenshot(),,,,2023-03-06 16:29:27,2023-03-06 16:29:28,0.896s,PASSED
"tap(findTestObject(""3.Payments/Pay To New Biller/Button_Next""), 0)",,,,2023-03-06 16:29:28,2023-03-06 16:29:29,1.018s,PASSED
"waitForElementPresent(findTestObject(""3.Payments/Amount/Text Box_Amount Entry""), 0, OPTIONAL)",,,,2023-03-06 16:29:29,2023-03-06 16:29:33,3.984s,PASSED
due = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,,2023-03-06 16:29:33,2023-03-06 16:29:33,0.001s,PASSED
"if (paymentType.equals(""partial""))",,,,2023-03-06 16:29:33,2023-03-06 16:29:35,1.885s,PASSED
takeScreenshot(),,,,2023-03-06 16:29:35,2023-03-06 16:29:35,0.635s,PASSED
"tap(findTestObject(""3.Payments/Amount/Button_Next""), 2, OPTIONAL)",,,,2023-03-06 16:29:35,2023-03-06 16:29:36,0.409s,PASSED
"waitForElementPresent(findTestObject(""3.Payments/Payment Confirmation Page/Button_Confirm""), 0)",,,,2023-03-06 16:29:36,2023-03-06 16:29:37,0.929s,PASSED
"tap(findTestObject(""3.Payments/Payment Confirmation Page/Button_Confirm""), 0)",,,,2023-03-06 16:29:37,2023-03-06 16:29:38,1.741s,PASSED
delay(5),,,,2023-03-06 16:29:38,2023-03-06 16:29:43,5.011s,PASSED
"callTestCase(findTestCase(""Utilities/Enter_mPIN""), [:], STOP_ON_FAILURE)",,,,2023-03-06 16:29:43,2023-03-06 16:29:48,4.074s,PASSED
"tap(findTestObject(""3.Payments/Payment Confirmation Page/Button_Verify""), 0)",,,,2023-03-06 16:29:48,2023-03-06 16:29:48,0.354s,PASSED
delay(5),,,,2023-03-06 16:29:48,2023-03-06 16:29:53,5.007s,PASSED
"callTestCase(findTestCase(""Utilities/Enter_OTP""), [:], STOP_ON_FAILURE)",,,,2023-03-06 16:29:53,2023-03-06 16:29:59,6.086s,PASSED
"tap(findTestObject(""4.Transfers/Button_VerifyOTP""), 0)",,,,2023-03-06 16:29:59,2023-03-06 16:30:01,1.863s,PASSED
"waitForElementPresent(findTestObject(""3.Payments/Payment Success page/Button_Back To Payment""), 180)",,,,2023-03-06 16:30:01,2023-03-06 16:30:12,11.409s,PASSED
takeScreenshot(),,,,2023-03-06 16:30:12,2023-03-06 16:30:13,0.631s,PASSED
"if (verifyElementExist(findTestObject(""3.Payments/Payment Success page/Button_Share""), 5, CONTINUE_ON_FAILURE))",,,,2023-03-06 16:30:13,2023-03-06 16:30:13,0.451s,PASSED
"tap(findTestObject(""3.Payments/Payment Success page/Button_Back To Payment""), 0)",,,,2023-03-06 16:30:13,2023-03-06 16:30:15,1.729s,PASSED
"callTestCase(findTestCase(""Utilities/Logout""), [:], CONTINUE_ON_FAILURE)",,,,2023-03-06 16:30:15,2023-03-06 16:30:25,10.228s,PASSED
Start listener action : autoUpdateJobStatus,,,,2023-03-06 16:30:25,2023-03-06 16:30:25,0.001s,PASSED
,,,,,,,
Test Cases/Payments/TC 01 - New Bill Payment,,,,2023-03-06 16:30:25,2023-03-06 16:32:11,1m - 45.463s,PASSED
Start listener action : enableSauceLabs,,,,2023-03-06 16:30:26,2023-03-06 16:30:26,0.000s,PASSED
"callTestCase(findTestCase(""Utilities/Login""), [:], CONTINUE_ON_FAILURE)",,,,2023-03-06 16:30:26,2023-03-06 16:30:52,26.964s,PASSED
"tap(findTestObject(""3.Payments/Payments_page/tab_PAY""), 0)",,,,2023-03-06 16:30:52,2023-03-06 16:30:53,0.328s,PASSED
"tap(findTestObject(""3.Payments/Payments_page/tab_Bills""), 0)",,,,2023-03-06 16:30:53,2023-03-06 16:30:56,3.219s,PASSED
"tap(findTestObject(""3.Payments/Payments_page/button_NewBill""), 0)",,,,2023-03-06 16:30:56,2023-03-06 16:30:58,1.512s,PASSED
delay(2),,,,2023-03-06 16:30:58,2023-03-06 16:31:00,2.007s,PASSED
"tap(findTestObject(""3.Payments/Pay To New Biller/Label_Select Biller"", [""biller"":biller]), 0)",,,,2023-03-06 16:31:00,2023-03-06 16:31:01,1.947s,PASSED
"tap(findTestObject(""3.Payments/Pay To New Biller/Label_Select Sub Biller"", [""subBiller"":subBiller]), 0)",,,,2023-03-06 16:31:01,2023-03-06 16:31:06,4.644s,PASSED
"delay(5, CONTINUE_ON_FAILURE)",,,,2023-03-06 16:31:06,2023-03-06 16:31:11,5.011s,PASSED
"callTestCase(findTestCase(""Utilities/Account Selection Based on AccountNumber""), [""accountNumber"":accountNumber], OPTIONAL)",,,,2023-03-06 16:31:11,2023-03-06 16:31:12,0.439s,PASSED
"tap(findTestObject(""3.Payments/Pay To New Biller/Text Box_Account Number Entry""), 0)",,,,2023-03-06 16:31:12,2023-03-06 16:31:12,0.395s,PASSED
"setText(findTestObject(""3.Payments/Pay To New Biller/Text Box_Account Number Entry""), consumerNumber, 0)",,,,2023-03-06 16:31:12,2023-03-06 16:31:13,1.120s,PASSED
pressBack(),,,,2023-03-06 16:31:13,2023-03-06 16:31:14,0.711s,PASSED
"if (biller == ""Salik"")",,,,2023-03-06 16:31:14,2023-03-06 16:31:14,0.000s,PASSED
